n;re;im
0;-1.3388504829619057;0.0
1;-0.3409708640187177;-0.194313011614862
2;0.06516253208034867;-0.1272572190156642
3;0.03939424674509583;0.01908879143661748
4;0.004414531535111331;-0.0005031600103409717
5;0.02955357587402256;-0.005259378417047553
6;-0.002670488405025484;-0.002730811288865016
7;-0.00028098233963737236;-0.008011385289549644
8;0.007862140412276295;-0.0035728260415324254
