n;re;im
0;1.3951038619906504;0.0
1;-0.2432403819994211;0.10806745973463076
2;-0.0581520800760675;-0.04839162133313214
3;0.014695461383197213;-0.02721024548339911
4;-0.0018016512816583434;0.0034551417669507595
5;-0.0054819362272900615;-0.004729458988335052
6;0.004955838820413028;-0.006617297094564939
7;0.0019509429460382664;0.0023373655595729545
8;-0.0012925210164691518;-0.000173282819153265
