n;re;im
0;0.2715509063359379;0.0
1;0.07859932244660031;0.37108461374964197
2;-0.22151294477134995;0.09744174915598279
3;-0.05399121588396745;-0.08921090489858331
4;0.026610994971300445;-0.010830128302158968
5;-0.014448992032035972;0.007128305436070188
6;0.0045970293781733024;-0.008165470565540468
7;0.0009129287885622182;0.0029289278464851736
8;-0.0014372928159879863;-0.006576908633916384
