n;re;im
0;-0.5849451724004067;0.0
1;0.25986072378171915;0.39950615897957786
2;-0.1433052885708621;0.08721732379359086
3;0.017667813739408202;-0.0613527425462927
4;0.027111291246177543;0.041802562907285144
5;-0.04191722398746527;0.012686283845322532
6;0.006475767360369633;-0.027668292763397852
7;0.02541295289971635;0.016842885628672175
8;-0.013164234002116575;0.022794618891756317
